,LOC,Entry,Rep,Row,Col,Row2,Col2,serpentine,selected,selection_location,selected_type,selected_category,First_Summer_ALF_Height,First_Summer_IWG_Height_log,First_Summer_Maturity,First_Yr_Regrowth_Vigor,First_Summer_ALF_Biomass_sqrt,First_Summer_IWG_Biomass_log,First_Summer_Lodging,First_Yr_Regrowth_Vigor2
181,NY,UMN5560,7,2,3,5.25,57.5,6,selected,MN,MN_Maize,MN_Maize,0.274265269,4.88532399,7,3,196.8986935,NA,7,3
182,NY,IWAF-L-KS1,7,16,3,54.25,57.5,62,selected,KS,KS_IWG,KS_IWG,-6.126502878,4.295015257,6,4,284.8676163,NA,5,4
183,NY,AVC5,6,16,2,54.25,32.5,63,base,NA,NA,base_WI,1.768896645,4.481117537,6,5,348.1282159,NA,2,5
184,NY,IWAF-H-WI1,5,16,1,54.25,7.5,64,selected,WI,WI_IWG,WI_IWG,2.474591184,4.621699491,8,5,432.3671958,NA,2,5
185,NY,UMN5555,5,17,1,57.75,7.5,65,other,NA,NA,NA,2.155102053,4.730333326,8,3,359.9782966,NA,4,3
186,NY,IWAF-H-WI1,6,17,2,57.75,32.5,66,selected,WI,WI_IWG,WI_IWG,3.941458188,4.17438727,6,3,186.936605,NA,7,3
187,NY,AVC14,7,17,3,57.75,57.5,67,selected,WI,WI_Maize,WI_Maize,3.054007991,4.49980967,6,3,253.9163975,NA,8,3
188,NY,Larry15,8,17,4,57.75,82.5,68,other,NA,NA,NA,6.766098543,4.929666229,6,1,256.6210319,NA,1,1
189,NY,AVC9,8,18,4,61.25,82.5,69,selected,WI,WI_Maize,WI_Maize,-10.59903199,4.828313737,6,2,172.7625327,NA,2,2
190,NY,IWAF-L-MN1,6,2,2,5.25,32.5,7,selected,MN,MN_IWG,MN_IWG,6.866074139,4.844187086,6,4,312.2609976,NA,4,4
191,NY,AVC7,7,18,3,61.25,57.5,70,selected,WI,WI_Maize,WI_Maize,6.180035133,4.571268635,6,4,316.4843568,NA,3,4
192,NY,AVC9,6,18,2,61.25,32.5,71,selected,WI,WI_Maize,WI_Maize,2.081329549,4.588363067,6,4,321.9743766,NA,5,4
193,NY,UMN5561,5,18,1,61.25,7.5,72,selected,MN,MN_Maize,MN_Maize,-2.215923346,4.637960006,6,5,390.1391176,NA,4,5
194,NY,UMN4352,5,19,1,64.75,7.5,73,other,NA,NA,NA,-5.065155224,4.248495242,6,4,237.041419,NA,7,4
195,NY,UMN5560,6,19,2,64.75,32.5,74,selected,MN,MN_Maize,MN_Maize,-0.956362525,5.298317367,8,3,235.4678691,NA,7,3
196,NY,IWAF-L-WI1,7,19,3,64.75,57.5,75,selected,WI,WI_IWG,WI_IWG,-0.317017433,4.518158809,7,3,284.6811235,NA,8,3
